sail 3 mars; shortest distance: 86687910.4073702|sail x|sail y|sail z|time|yaw|sail Vx|sail Vy|sail Vz|distance x|distance y|distance z|abs distance
67|-149442464.06571642|12584273.926293407|5487645.647533901|1189683.164925501|0.6|-4.003968089209235|-27.481390307513497|-11.916206711767828|306517332.0216526|125174678.30607915|53467743.044432506|335380939.32865036
68|-149512716.48831394|12096182.273508998|5276004.030762397|1207439.6300736426|0.6|-3.9089116804287922|-27.49477542780097|-11.922030499192449|306303446.07327193|125980720.03440487|53832906.334101036|335545711.79069626
69|-149581280.82630455|11607855.751261119|5064260.219542185|1225196.0952217844|0.6|-3.8138310161517044|-27.50784482078243|-11.927717379635107|306087218.6189225|126786422.92768517|54197926.34221801|335710586.1608513
70|-149648156.66244668|11119299.965676045|4852416.644827713|1242952.5603699263|0.6|-3.718727612904781|-27.52059849608672|-11.9332673569607|305868650.75960183|127591780.36238316|54562800.13012453|335875561.9147988
71|-149713343.6064811|10630520.522648947|4640475.737478734|1260709.025518068|0.6|-3.6236029871627697|-27.533036471019877|-11.93868043836327|305647743.62481844|128396785.7189811|54927524.760952555|336040638.5279521
72|-149776841.29513702|10141523.027708124|4428439.928201439|1278465.49066621|0.6|-3.5284586552890156|-27.54515877057088|-11.943956634368517|305424498.3725847|129201432.38211538|55292097.29968367|336205815.47548074
73|-149838649.39213666|9652313.085878903|4216311.647489438|1296221.9558143518|0.6|-3.433296133475878|-27.556965427416763|-11.949095958836022|305198916.18940926|130005713.74071157|55656514.813208096|336371092.23233604
74|-149898767.5881986|9162896.301547213|4004093.3255646005|1313978.4209624934|0.6|-3.338116937684892|-27.568456481927132|-11.954098428961217|304970998.29028726|130809623.1881199|56020774.37038369|336536468.2732761
75|-149957195.60103956|8673278.27832279|3791787.392317739|1331734.8861106352|0.6|-3.2429225835866773|-27.57963198216804|-11.958964065277076|304740745.91868997|131613154.12225106|56384873.04209513|336701943.0728907
76|-150013933.17537484|8183464.618902117|3579396.2772491667|1349491.351258777|0.6|-3.1477145865006086|-27.590491983905217|-11.963692891655544|304508160.34655195|132416299.94571218|56748807.90131329|336867516.1056263
77|-150068980.08291742|7693460.924930951|3366922.409409094|1367247.816406919|0.6|-3.0524944613342235|-27.601036550606754|-11.968284935308688|304273242.8742584|133219054.06594329|57112576.023154594|337033186.8458101
78|-150122336.12237567|7203272.796866566|3154368.217337883|1385004.2815550608|0.6|-2.9572637225223843|-27.611265753445068|-11.972740226789588|304035994.8306295|134021409.89535391|57476174.48494066|337198954.7676748
79|-150174001.1194494|6712905.833839649|2941736.1290061623|1402760.7467032026|0.6|-2.862023883966195|-27.621179671298336|-11.977058799992943|303796417.5729046|134823360.85146004|57839600.366257995|337364819.34538174
80|-150223974.92681417|6222365.633515839|2729028.571754781|1420517.2118513444|0.6|-2.766776458971452|-27.630778390746286|-11.981240692153287|303554512.4867135|135624900.35702142|58202850.749017775|337530780.0530357
81|-150272257.42227465|5731657.791954148|2516247.972233038|1438273.676999486|0.6|-2.671522960151639|-27.640062005222322|-11.985285943477313|303310280.9842175|136426021.84018177|58565922.71751745|337696836.36305654
82|-150318848.51040968|5240787.903470355|2303396.7563397787|1456030.142147628|0.6|-2.576264899397907|-27.64903061577491|-11.989194597474063|303063724.5057424|137226718.73460433|58928813.358499356|337862987.7476957
83|-150363748.12370616|4749761.560499355|2090477.3491639374|1473786.6072957697|0.6|-2.4810037878390023|-27.657684331593423|-11.992966701182953|302814844.520899|138026984.47960818|59291519.76121001|338029233.68008304
84|-150406956.22144186|4258584.353453661|1877492.174922949|1491543.0724439116|0.6|-2.3857411357576233|-27.666023269496453|-11.99660230495191|302563642.5274546|138826812.52030826|59654039.01746127|338195573.6332558
85|-150448472.78966078|3767261.8705832832|1664443.656901982|1509299.5375920534|0.6|-2.2904784525275943|-27.674047553923707|-12.000101462433861|302310120.0512952|139626196.30775422|60016368.22169099|338362007.0801709
86|-150488297.8411465|3275799.697835262|1451334.2173930216|1527056.0027401953|0.6|-2.1952172465507767|-27.681757316927076|-12.003464230582885|302054278.64638686|140425129.29906958|60378504.47102349|338528533.4937174
87|-150526431.41539395|2784203.4187128814|1238166.277633812|1544812.4678883369|0.6|-2.0999590251937263|-27.68915269816091|-12.006690669649998|301796119.8947351|141223604.9575909|60740444.865330346|338695152.34672797
